date,reef,age_d,blade,chlA_nmol_g,Chl_C_g_g,delta_DOC_uMC,delta_DON_uMN,DOM_CN_mol_mol,tissue_C_per,tissue_N_per,tissue_CN,abs270_m_l_hr_g,DOC_umolC_g_hr,a270_DOC,HPLC_sugar_uMC,HPLC_sugar_uMC_wglucose,HPLC_sugar_per_DOC_wglucose,HPLC_sugar_per_doc,Fucose,Rhamnose,Galactoseamine,Arabinose,Glucoseamine,Galactose,Gal-URA,Glc-URA,Man-URA
8/9/23,MK,16,1,256.3,0.0060,3.58,0.7,4.94,28.59,0.92,30.97,0.04,-0.04,,0.34,0.35,9.83,9.5,0.52,0.02,0.02,0.00,0.05,0.15,0.01,0.09,0.14
8/9/23,MK,16,2,280.5,0.0063,1.45,0.4,3.96,29.26,0.93,31.56,0.09,0.52,0.17,0.42,3.72,256.18,28.9,0.48,0.00,0.00,0.20,0.02,0.22,0.03,0.05,0.00
8/9/23,MK,16,3,171.7,0.0037,2.72,0.5,4.96,29.38,0.84,34.81,0.04,1.23,0.03,0.02,0.43,15.75,0.7,0.63,0.00,0.01,0.00,0.00,0.00,0.00,0.20,0.16
8/9/23,MK,16,4,293.9,0.0081,9.82,0.9,11.47,26.66,0.95,27.94,0.12,5.92,0.02,0.39,6.89,70.11,4.0,0.29,0.12,0.00,0.00,0.06,0.46,0.00,0.06,0.02
8/9/23,MK,16,5,257.7,0.0076,7.34,-0.1,,26.21,0.89,29.34,0.06,1.65,0.04,0.38,3.50,47.70,5.2,0.32,0.08,0.00,0.00,0.01,0.32,0.02,0.13,0.13
8/9/23,MK,16,6,256.3,0.0088,17.59,0.7,24.03,23.64,0.94,25.07,0.11,5.10,0.02,0.29,1.48,8.39,1.6,0.46,0.13,0.00,0.01,0.05,0.17,0.00,0.10,0.07
8/23/23,MK,30,1,273.3,0.0061,5.58,0.4,12.66,28.99,1.00,29.10,0.04,1.94,0.02,0.59,0.83,14.90,10.6,0.39,0.08,0.02,0.00,0.05,0.41,0.00,0.05,0.00
8/23/23,MK,30,2,206.1,0.0064,6.26,0.8,8.26,24.95,0.87,28.55,0.03,0.64,0.05,0.31,0.53,8.44,5.0,0.75,0.00,0.02,0.00,0.03,0.00,0.00,0.20,0.00
8/23/23,MK,30,3,198.0,0.0065,1.75,1.3,1.39,24.38,0.76,32.09,0.09,3.11,0.03,0.25,0.59,33.53,14.3,0.31,0.00,0.00,0.00,0.22,0.07,0.00,0.39,0.00
8/23/23,MK,30,4,250.6,0.0060,3.40,0.5,6.60,28.66,1.02,28.15,0.04,1.48,0.03,0.44,0.44,12.82,13.0,0.33,0.19,0.00,0.05,0.09,0.20,0.00,0.09,0.04
8/23/23,MK,30,5,231.2,0.0071,2.88,-0.4,,25.62,0.81,31.64,0.09,2.81,0.03,0.30,0.47,16.43,10.4,0.49,0.04,0.01,0.00,0.04,0.11,0.00,0.27,0.04
8/23/23,MK,30,6,271.0,0.0061,4.22,0.7,6.04,28.49,0.94,30.22,0.06,2.73,0.02,0.95,0.95,22.39,22.5,0.74,0.00,0.01,0.00,0.03,0.17,0.00,0.05,0.00
9/5/23,MK,43,1,324.6,0.0068,3.82,0.4,10.24,29.66,0.91,32.63,0.11,1.68,0.07,0.36,0.54,14.03,9.4,0.63,0.02,0.02,0.00,0.05,0.12,0.00,0.14,0.02
9/5/23,MK,43,2,182.3,0.0057,6.15,-0.1,,25.16,0.75,33.77,0.09,1.71,0.05,0.69,8.52,138.63,11.2,0.40,0.13,0.00,0.00,0.02,0.28,0.00,0.13,0.04
9/5/23,MK,43,3,231.9,0.0073,6.33,0.6,11.09,24.95,1.00,24.90,0.13,1.85,0.07,0.72,3.97,62.74,11.4,0.18,0.10,0.00,0.12,0.04,0.36,0.02,0.04,0.13
9/5/23,MK,43,4,326.1,0.0065,7.62,-0.3,,30.23,0.91,33.24,0.11,3.56,0.03,0.48,2.97,38.93,6.3,0.27,0.13,0.02,0.08,0.06,0.35,0.00,0.00,0.09
9/5/23,MK,43,5,213.3,0.0067,2.47,0.2,10.49,24.89,0.84,29.69,0.16,2.99,0.05,0.24,2.27,91.94,9.7,0.48,0.08,0.02,0.01,0.00,0.15,0.08,0.17,0.00
9/5/23,MK,43,6,263.2,0.0123,12.80,0.3,43.44,20.88,1.02,20.37,0.16,3.63,0.04,0.96,3.27,25.56,7.5,0.30,0.00,0.00,0.04,0.01,0.29,0.02,0.12,0.21
9/26/23,MK,64,1,208.2,0.0051,16.76,0.9,18.80,27.43,0.81,33.66,0.47,16.06,0.03,1.25,1.25,7.44,7.5,0.29,0.02,0.00,0.00,0.03,0.01,0.00,0.10,0.55
9/26/23,MK,64,2,146.8,0.0039,13.58,0.2,65.42,26.47,0.76,34.75,0.91,16.93,0.05,1.16,1.16,8.52,8.5,0.24,0.05,0.00,0.00,0.05,0.00,0.00,0.11,0.55
9/26/23,MK,64,3,70.8,0.0023,86.86,0.3,265.97,24.90,0.63,39.82,0.52,16.41,0.03,11.52,11.52,13.26,13.3,0.20,0.02,0.00,0.00,0.01,0.04,0.00,0.04,0.69
9/26/23,MK,64,4,25.0,0.0008,72.44,1.1,66.29,24.46,0.68,35.94,1.14,15.76,0.07,9.30,9.30,12.83,12.8,0.28,0.03,0.00,0.00,0.02,0.08,0.00,0.07,0.53
9/26/23,MK,64,5,36.7,0.0011,8.33,0.8,10.81,24.99,0.76,33.01,0.53,16.29,0.03,1.42,1.78,21.32,17.0,0.64,0.02,0.00,0.00,0.03,0.22,0.00,0.08,0.00
9/26/23,MK,64,6,221.3,0.0065,16.78,0.8,21.25,25.19,0.80,31.64,1.20,17.06,0.07,0.83,0.83,4.92,4.9,0.28,0.17,0.00,0.00,0.04,0.02,0.00,0.19,0.30
10/10/23,MK,78,1,120,0.0038,12.78,0.1,121.79,24.69,0.72,34.45,0.91,27.00,0.03,1.15,1.15,9.00,9.0,0.38,0.00,0.00,0.00,0.05,0.18,0.00,0.12,0.26
10/10/23,MK,78,2,65,0.0021,27.99,0.4,66.26,23.93,0.64,37.12,0.61,21.32,0.03,2.69,2.81,10.04,9.6,0.27,0.00,0.00,0.00,0.03,0.15,0.00,0.14,0.41
10/10/23,MK,78,3,11,0.0004,81.94,0.6,131.57,24.44,0.63,38.84,1.12,27.24,0.04,8.85,9.32,11.38,10.8,0.20,0.02,0.00,0.00,0.01,0.12,0.00,0.07,0.57
10/10/23,MK,78,4,94,0.0032,72.79,0.5,160.64,23.40,0.68,34.40,0.74,27.46,0.03,10.14,10.87,14.93,13.9,0.16,0.01,0.00,0.01,0.01,0.11,0.01,0.10,0.59
10/10/23,MK,78,5,95,0.0032,50.20,0.6,86.10,23.98,0.68,35.47,1.01,27.22,0.04,5.30,5.30,10.56,10.6,0.19,0.00,0.00,0.00,0.02,0.14,0.01,0.10,0.53
10/10/23,MK,78,6,96,0.0033,39.69,0.1,299.92,23.82,0.66,35.86,0.74,23.43,0.03,4.52,5.95,15.00,11.4,0.16,0.00,0.00,0.00,0.02,0.10,0.01,0.09,0.62