age_d,experiment,season,blade,phase,Fucose,Rhamnose,Galactoseamine,Arabinose,Glucoseamine,Galactose,Gal-URA,Glc-URA,Man-URA
16,exudation,Summer,1,Mature,0.52,0.02,0.02,0.00,0.05,0.15,0.01,0.09,0.14
16,exudation,Summer,2,Mature,0.48,0.00,0.00,0.20,0.02,0.22,0.03,0.05,0.00
16,exudation,Summer,3,Mature,0.63,0.00,0.01,0.00,0.00,0.00,0.00,0.20,0.16
16,exudation,Summer,4,Mature,0.29,0.12,0.00,0.00,0.06,0.46,0.00,0.06,0.02
16,exudation,Summer,5,Mature,0.32,0.08,0.00,0.00,0.01,0.32,0.02,0.13,0.13
16,exudation,Summer,6,Mature,0.46,0.13,0.00,0.01,0.05,0.17,0.00,0.10,0.07
30,exudation,Summer,1,Mature,0.39,0.08,0.02,0.00,0.05,0.41,0.00,0.05,0.00
30,exudation,Summer,2,Mature,0.75,0.00,0.02,0.00,0.03,0.00,0.00,0.20,0.00
30,exudation,Summer,3,Mature,0.31,0.00,0.00,0.00,0.22,0.07,0.00,0.39,0.00
30,exudation,Summer,4,Mature,0.33,0.19,0.00,0.05,0.09,0.20,0.00,0.09,0.04
30,exudation,Summer,5,Mature,0.49,0.04,0.01,0.00,0.04,0.11,0.00,0.27,0.04
30,exudation,Summer,6,Mature,0.74,0.00,0.01,0.00,0.03,0.17,0.00,0.05,0.00
43,exudation,Summer,1,Mature,0.63,0.02,0.02,0.00,0.05,0.12,0.00,0.14,0.02
43,exudation,Summer,2,Mature,0.40,0.13,0.00,0.00,0.02,0.28,0.00,0.13,0.04
43,exudation,Summer,3,Mature,0.18,0.10,0.00,0.12,0.04,0.36,0.02,0.04,0.13
43,exudation,Summer,4,Mature,0.27,0.13,0.02,0.08,0.06,0.35,0.00,0.00,0.09
43,exudation,Summer,5,Mature,0.48,0.08,0.02,0.01,0.00,0.15,0.08,0.17,0.00
43,exudation,Summer,6,Mature,0.30,0.00,0.00,0.04,0.01,0.29,0.02,0.12,0.21
64,exudation,Summer,1,Senescent,0.29,0.02,0.00,0.00,0.03,0.01,0.00,0.10,0.55
64,exudation,Summer,2,Senescent,0.24,0.05,0.00,0.00,0.05,0.00,0.00,0.11,0.55
64,exudation,Summer,3,Senescent,0.20,0.02,0.00,0.00,0.01,0.04,0.00,0.04,0.69
64,exudation,Summer,4,Senescent,0.28,0.03,0.00,0.00,0.02,0.08,0.00,0.07,0.53
64,exudation,Summer,5,Senescent,0.64,0.02,0.00,0.00,0.03,0.22,0.00,0.08,0.00
64,exudation,Summer,6,Senescent,0.28,0.17,0.00,0.00,0.04,0.02,0.00,0.19,0.30
78,exudation,Summer,1,Senescent,0.38,0.00,0.00,0.00,0.05,0.18,0.00,0.12,0.26
78,exudation,Summer,2,Senescent,0.27,0.00,0.00,0.00,0.03,0.15,0.00,0.14,0.41
78,exudation,Summer,3,Senescent,0.20,0.02,0.00,0.00,0.01,0.12,0.00,0.07,0.57
78,exudation,Summer,4,Senescent,0.16,0.01,0.00,0.01,0.01,0.11,0.01,0.10,0.59
78,exudation,Summer,5,Senescent,0.19,0.00,0.00,0.00,0.02,0.14,0.01,0.10,0.53
78,exudation,Summer,6,Senescent,0.16,0.00,0.00,0.00,0.02,0.10,0.01,0.09,0.62
16,exudation,Spring,1,Mature,0.58,0.02,0.00,0.00,0.17,0.15,0.00,0.09,0.00
16,exudation,Spring,2,Mature,0.52,0.01,0.00,0.00,0.13,0.14,0.00,0.10,0.10
16,exudation,Spring,3,Mature,0.44,0.10,0.01,0.00,0.14,0.22,0.01,0.08,0.00
16,exudation,Spring,4,Mature,0.58,0.02,0.01,0.00,0.16,0.15,0.00,0.09,0.00
16,exudation,Spring,5,Mature,0.62,0.01,0.00,0.00,0.10,0.19,0.00,0.08,0.00
16,exudation,Spring,6,Mature,0.67,0.01,0.00,0.00,0.10,0.13,0.00,0.10,0.00
77,exudation,Spring,1,Senescent,0.43,0.04,0.00,0.00,0.01,0.30,0.00,0.09,0.12
77,exudation,Spring,2,Senescent,0.41,0.03,0.00,0.00,0.02,0.18,0.01,0.07,0.29
77,exudation,Spring,3,Senescent,0.33,0.27,0.00,0.00,0.05,0.32,0.00,0.02,0.00
77,exudation,Spring,4,Senescent,0.33,0.34,0.00,0.00,0.00,0.28,0.00,0.04,0.00
77,exudation,Spring,5,Senescent,0.51,0.08,0.00,0.00,0.03,0.34,0.00,0.03,0.00
77,exudation,Spring,6,Senescent,0.50,0.06,0.00,0.00,0.02,0.26,0.02,0.11,0.05